method,region,roi,sensitivity,specificity,PPV,NPV,subject
SCC,ROI 2,80,99.88518168310144,53.08153477218226,79.07710405304246,99.6174617461746,C25
SCC,ROI 2,80,99.73402571084794,53.19637462235649,80.2619508714708,99.05490549054905,C3
SCC,ROI 2,80,99.8975471584403,53.28598940779972,81.02849880236593,99.6174617461746,C4
SCC,ROI 2,80,99.91776835979506,53.21244145550619,80.21531586431038,99.70747074707472,C5
SCC,ROI 2,80,99.96331621423332,52.85782329125982,77.48521383075523,99.88748874887489,C6
SCC,ROI 2,80,99.8466053087902,53.02230750779563,79.26196526895384,99.48244824482448,C7
SCC,ROI 2,80,99.93162180642756,53.39034084066,80.59761355660284,99.75247524752476,C8
SCC,ROI 2,80,99.89455647818636,53.1317494600432,79.51112043642468,99.63996399639964,C9
SPM,ROI 2,80,99.58247875769118,61.300754581387,80.79757518126709,98.89855072463769,C1
SPM,ROI 2,80,98.71268145713503,69.75650916104146,85.17577548005907,96.85355648535564,C10
SPM,ROI 2,80,99.59037711313394,66.33900743227044,84.50758620689656,98.874396998392,C11
SPM,ROI 2,80,89.41176470588236,97.72945699183086,97.61994710993578,89.85971501159837,C12
SPM,ROI 2,80,91.23894704746417,96.7391304347826,97.08013409754514,90.28403967538324,C13
SPM,ROI 2,80,92.61699611420848,96.74112046869278,97.62265158935092,90.06818181818181,C14
SPM,ROI 2,80,99.6589997325488,60.61007957559682,82.02179176755448,98.99566758566364,C15
SPM,ROI 2,80,99.58775029446409,62.320761537534644,82.95541262400523,98.79656160458453,C16
SPM,ROI 2,80,96.99286880316178,81.8574514038877,88.18842277947036,95.11991076408252,C17
SPM,ROI 2,80,99.9114984001634,53.28180737217598,78.88202096210696,99.71072541166,C18
SPM,ROI 2,80,99.21772326178107,60.76960309777347,83.02262253875156,97.57140081600932,C19
SPM,ROI 2,80,99.91139585605234,53.722114451988354,79.3407663996536,99.70747074707472,C2
SPM,ROI 2,80,97.51683788012792,81.05454545454546,90.16795621815436,94.82416335791264,C20
SPM,ROI 2,80,99.50345423143352,66.61903060616888,83.1449188214071,98.78156454176232,C21
SPM,ROI 2,80,89.59061689410173,97.79385171790234,97.74824658545587,89.7841726618705,C22
SPM,ROI 2,80,93.97010822882666,96.5016341847234,97.42630688396116,91.9068480516486,C23
SPM,ROI 2,80,99.93577392421324,53.31173506119511,78.25649622799665,99.7978436657682,C24
SPM,ROI 2,80,96.81252509032518,83.93285371702638,89.99850723988655,94.6329593078275,C25
SPM,ROI 2,80,54.53714981729598,99.43202416918427,97.44287268770402,84.64149778829338,C3
SPM,ROI 2,80,94.14814163957472,95.51035146846412,96.63600288600288,92.25671433554238,C4
SPM,ROI 2,80,99.27227430669376,70.02521916656659,85.84873568431794,98.13194210703466,C5
SPM,ROI 2,80,99.96331621423332,53.76280066682544,77.82156728352753,99.88938053097344,C6
SPM,ROI 2,80,99.14011840992389,63.10865915087551,82.05576945513943,97.7340267459138,C7
SPM,ROI 2,80,89.35693215339234,96.97699626640971,96.79192229038854,89.92628992628993,C8
SPM,ROI 2,80,99.7415849456666,59.08327333813295,81.530628825218,99.21418496876888,C9
SCC,ROI 3,10,99.977079990832,55.30642750373692,82.9435253850542,99.9099909990999,C1
SCC,ROI 3,10,99.89431303472573,55.495608531994975,84.83928876731065,99.52745274527452,C10
SCC,ROI 3,10,99.91334930424588,55.35825934725522,84.59347488348006,99.6174617461746,C11
SCC,ROI 3,10,99.92793312193716,55.41791791791791,85.374763976685,99.66246624662466,C12
SCC,ROI 3,10,99.83255991962876,55.76071835082838,85.64393006648608,99.21242124212422,C13
SCC,ROI 3,10,99.75837360439928,56.10130468150422,87.46438746438746,98.6948694869487,C14
SCC,ROI 3,10,99.8451213216314,55.48711502199875,84.52427778506184,99.32493249324934,C15
SCC,ROI 3,10,99.90067436875948,55.4928517682468,84.33734939759037,99.57245724572458,C16
SCC,ROI 3,10,99.92192661101436,55.21495327102804,82.23606168446025,99.70747074707472,C17
SCC,ROI 3,10,99.9288061336254,54.82553823311061,83.32724449721437,99.70747074707472,C18
SCC,ROI 3,10,99.86153009247812,55.51923560472718,85.09123087944039,99.36993699369935,C19
SCC,ROI 3,10,99.90503323836656,55.65053425518541,83.52325798617598,99.6174617461746,C2
SCC,ROI 3,10,99.82513236508476,55.78334598835738,85.46891245581202,99.1899189918992,C20
SCC,ROI 3,10,99.94804295116036,54.77337285414351,82.54112038140644,99.7974797479748,C21
SCC,ROI 3,10,99.87705477892628,55.46207935710699,86.07982418272438,99.3924392439244,C22
SCC,ROI 3,10,99.8796017596666,55.64932611160096,85.96652052610601,99.41494149414942,C23
SCC,ROI 3,10,99.94855967078188,55.28546497132885,82.97902628831736,99.7974797479748,C24
SCC,ROI 3,10,99.88196158386091,55.28191023877985,83.88230523137926,99.5049504950495,C25
SCC,ROI 3,10,99.7839446898406,55.54292929292929,85.51267281105991,98.98739873987398,C3
SCC,ROI 3,10,99.9100293588408,55.58346941339027,85.64643799472296,99.57245724572458,C4
SCC,ROI 3,10,99.8995429202873,55.41082164328658,84.81811591112628,99.54995499549956,C5
SCC,ROI 3,10,99.936394125130107,55.2054794520548,82.77298850574712,99.75247524752476,C6
SCC,ROI 3,10,99.81973384232012,55.21472392638037,84.03410105338332,99.23492349234924,C7
SCC,ROI 3,10,99.90136607979484,55.54997488699146,85.12417531621634,99.54995499549956,C8
SCC,ROI 3,10,99.92588278892477,55.38884721180295,84.10194715501493,99.68496849684968,C9
SPM,ROI 3,10,98.62935465448317,58.657199800697555,82.40377478528258,95.61421319796956,C1
SPM,ROI 3,10,95.80929876989369,70.07528230865746,85.25137591985653,90.25533290239171,C10
